频点0,频点1,频点2,频点3,频点4,频点5,频点6,频点7,频点8,频点9,频点10,频点11,频点12,频点13,频点14,频点15,频点16,频点17,频点18,频点19,频点20
46.2000007629395,46.2000007629395,46.2000007629395,25.7000007629395,25.7000007629395,25.7000007629395,358.700012207031,358.700012207031,358.700012207031,344.799987792969,344.799987792969,344.799987792969,300.700012207031,300.700012207031,300.700012207031,270.799987792969,270.799987792969,270.799987792969,244.5,244.5,244.5
46.2000007629395,46.2000007629395,46.2000007629395,22.5,22.5,22.5,1.89999997615814,1.89999997615814,1.89999997615814,346.299987792969,346.299987792969,346.299987792969,303.200012207031,303.200012207031,303.200012207031,275.799987792969,275.799987792969,275.799987792969,243.899993896484,243.899993896484,243.899993896484
45.5,45.5,45.5,19.7999992370605,19.7999992370605,19.7999992370605,0.400000005960464,0.400000005960464,0.400000005960464,344.200012207031,344.200012207031,344.200012207031,304.799987792969,304.799987792969,304.799987792969,272.299987792969,272.299987792969,272.299987792969,246,246,246
47.0999984741211,47.0999984741211,47.0999984741211,16.1000003814697,16.1000003814697,16.1000003814697,0.800000011920929,0.800000011920929,0.800000011920929,347.299987792969,347.299987792969,347.299987792969,301,301,301,273.899993896484,273.899993896484,273.899993896484,243,243,243
38.9000015258789,38.9000015258789,38.9000015258789,15.3999996185303,15.3999996185303,15.3999996185303,356.600006103516,356.600006103516,356.600006103516,346.200012207031,346.200012207031,346.200012207031,308,308,308,273.399993896484,273.399993896484,273.399993896484,232.300003051758,232.300003051758,232.300003051758
35.0999984741211,35.0999984741211,35.0999984741211,17.2999992370605,17.2999992370605,17.2999992370605,358.600006103516,358.600006103516,358.600006103516,347.899993896484,347.899993896484,347.899993896484,306.399993896484,306.399993896484,306.399993896484,275.100006103516,275.100006103516,275.100006103516,240.5,240.5,240.5
36.0999984741211,36.0999984741211,36.0999984741211,23.1000003814697,23.1000003814697,23.1000003814697,9.39999961853027,9.39999961853027,9.39999961853027,345.600006103516,345.600006103516,345.600006103516,304.600006103516,304.600006103516,304.600006103516,272.799987792969,272.799987792969,272.799987792969,240.600006103516,240.600006103516,240.600006103516
37,37,37,20.7999992370605,20.7999992370605,20.7999992370605,6.59999990463257,6.59999990463257,6.59999990463257,344.700012207031,344.700012207031,344.700012207031,303.700012207031,303.700012207031,303.700012207031,275.899993896484,275.899993896484,275.899993896484,246,246,246
37.2000007629395,37.2000007629395,37.2000007629395,25.7000007629395,25.7000007629395,25.7000007629395,358.5,358.5,358.5,345.399993896484,345.399993896484,345.399993896484,301.5,301.5,301.5,275.799987792969,275.799987792969,275.799987792969,242.699996948242,242.699996948242,242.699996948242
47.7999992370605,47.7999992370605,47.7999992370605,28.7999992370605,28.7999992370605,28.7999992370605,357,357,357,342.5,342.5,342.5,290.799987792969,290.799987792969,290.799987792969,259,259,259,239,239,239
47,47,47,29.6000003814697,29.6000003814697,29.6000003814697,3.5,3.5,3.5,335.299987792969,335.299987792969,335.299987792969,301.399993896484,301.399993896484,301.399993896484,267.200012207031,267.200012207031,267.200012207031,231,231,231
46.5,46.5,46.5,27.1000003814697,27.1000003814697,27.1000003814697,4.30000019073486,4.30000019073486,4.30000019073486,337.5,337.5,337.5,298.600006103516,298.600006103516,298.600006103516,269.700012207031,269.700012207031,269.700012207031,243.100006103516,243.100006103516,243.100006103516
48.7000007629395,48.7000007629395,48.7000007629395,30.1000003814697,30.1000003814697,30.1000003814697,5.30000019073486,5.30000019073486,5.30000019073486,337.600006103516,337.600006103516,337.600006103516,290.5,290.5,290.5,257.399993896484,257.399993896484,257.399993896484,229.399993896484,229.399993896484,229.399993896484
48.7000007629395,48.7000007629395,48.7000007629395,28.1000003814697,28.1000003814697,28.1000003814697,8.10000038146973,8.10000038146973,8.10000038146973,340.399993896484,340.399993896484,340.399993896484,295.799987792969,295.799987792969,295.799987792969,270,270,270,235.699996948242,235.699996948242,235.699996948242
46.2000007629395,46.2000007629395,46.2000007629395,23.5,23.5,23.5,4,4,4,347.399993896484,347.399993896484,347.399993896484,306.200012207031,306.200012207031,306.200012207031,278.399993896484,278.399993896484,278.399993896484,245.899993896484,245.899993896484,245.899993896484
46.4000015258789,46.4000015258789,46.4000015258789,24.2999992370605,24.2999992370605,24.2999992370605,358.5,358.5,358.5,342,342,342,294.5,294.5,294.5,271.5,271.5,271.5,252.100006103516,252.100006103516,252.100006103516
49.5999984741211,49.5999984741211,49.5999984741211,24.8999996185303,24.8999996185303,24.8999996185303,4.69999980926514,4.69999980926514,4.69999980926514,346,346,346,306.600006103516,306.600006103516,306.600006103516,270.100006103516,270.100006103516,270.100006103516,247,247,247
46.2999992370605,46.2999992370605,46.2999992370605,32.2999992370605,32.2999992370605,32.2999992370605,11.1000003814697,11.1000003814697,11.1000003814697,346.299987792969,346.299987792969,346.299987792969,307.700012207031,307.700012207031,307.700012207031,277.5,277.5,277.5,249.300003051758,249.300003051758,249.300003051758
55.7000007629395,55.7000007629395,55.7000007629395,39.4000015258789,39.4000015258789,39.4000015258789,13.6000003814697,13.6000003814697,13.6000003814697,346.600006103516,346.600006103516,346.600006103516,308.200012207031,308.200012207031,308.200012207031,276.799987792969,276.799987792969,276.799987792969,248.100006103516,248.100006103516,248.100006103516
55.7999992370605,55.7999992370605,55.7999992370605,39,39,39,16.1000003814697,16.1000003814697,16.1000003814697,346.899993896484,346.899993896484,346.899993896484,305.700012207031,305.700012207031,305.700012207031,278.200012207031,278.200012207031,278.200012207031,248.699996948242,248.699996948242,248.699996948242
57.4000015258789,57.4000015258789,57.4000015258789,40.9000015258789,40.9000015258789,40.9000015258789,14.8000001907349,14.8000001907349,14.8000001907349,339.399993896484,339.399993896484,339.399993896484,304.799987792969,304.799987792969,304.799987792969,279.700012207031,279.700012207031,279.700012207031,248.800003051758,248.800003051758,248.800003051758
56.2000007629395,56.2000007629395,56.2000007629395,40.5,40.5,40.5,15.3000001907349,15.3000001907349,15.3000001907349,341.700012207031,341.700012207031,341.700012207031,306.700012207031,306.700012207031,306.700012207031,278.600006103516,278.600006103516,278.600006103516,246.800003051758,246.800003051758,246.800003051758
57.5999984741211,57.5999984741211,57.5999984741211,39.2000007629395,39.2000007629395,39.2000007629395,11.8000001907349,11.8000001907349,11.8000001907349,339.600006103516,339.600006103516,339.600006103516,306.700012207031,306.700012207031,306.700012207031,279.899993896484,279.899993896484,279.899993896484,249.800003051758,249.800003051758,249.800003051758
55.7000007629395,55.7000007629395,55.7000007629395,35.9000015258789,35.9000015258789,35.9000015258789,10.6000003814697,10.6000003814697,10.6000003814697,342.200012207031,342.200012207031,342.200012207031,300.399993896484,300.399993896484,300.399993896484,264.399993896484,264.399993896484,264.399993896484,244,244,244
47.5,47.5,47.5,38.4000015258789,38.4000015258789,38.4000015258789,13.6000003814697,13.6000003814697,13.6000003814697,344.200012207031,344.200012207031,344.200012207031,301.100006103516,301.100006103516,301.100006103516,264.299987792969,264.299987792969,264.299987792969,238.100006103516,238.100006103516,238.100006103516
49,49,49,37.7999992370605,37.7999992370605,37.7999992370605,13,13,13,347.799987792969,347.799987792969,347.799987792969,300.600006103516,300.600006103516,300.600006103516,266.899993896484,266.899993896484,266.899993896484,241.100006103516,241.100006103516,241.100006103516
48.0999984741211,48.0999984741211,48.0999984741211,27.5,27.5,27.5,3.79999995231628,3.79999995231628,3.79999995231628,333.299987792969,333.299987792969,333.299987792969,299.799987792969,299.799987792969,299.799987792969,268.299987792969,268.299987792969,268.299987792969,243,243,243
46.7999992370605,46.7999992370605,46.7999992370605,27.6000003814697,27.6000003814697,27.6000003814697,5.80000019073486,5.80000019073486,5.80000019073486,335.100006103516,335.100006103516,335.100006103516,300.5,300.5,300.5,267.100006103516,267.100006103516,267.100006103516,241.199996948242,241.199996948242,241.199996948242
47,47,47,28.3999996185303,28.3999996185303,28.3999996185303,4.19999980926514,4.19999980926514,4.19999980926514,335.5,335.5,335.5,298.299987792969,298.299987792969,298.299987792969,267.799987792969,267.799987792969,267.799987792969,239.699996948242,239.699996948242,239.699996948242
45.2000007629395,45.2000007629395,45.2000007629395,27,27,27,3.29999995231628,3.29999995231628,3.29999995231628,335.399993896484,335.399993896484,335.399993896484,301,301,301,269.100006103516,269.100006103516,269.100006103516,242.899993896484,242.899993896484,242.899993896484
46.4000015258789,46.4000015258789,46.4000015258789,29.3999996185303,29.3999996185303,29.3999996185303,4.69999980926514,4.69999980926514,4.69999980926514,336.200012207031,336.200012207031,336.200012207031,301.100006103516,301.100006103516,301.100006103516,267.200012207031,267.200012207031,267.200012207031,241.399993896484,241.399993896484,241.399993896484
48.2000007629395,48.2000007629395,48.2000007629395,26.1000003814697,26.1000003814697,26.1000003814697,2.5,2.5,2.5,335.5,335.5,335.5,294.399993896484,294.399993896484,294.399993896484,268.600006103516,268.600006103516,268.600006103516,240.399993896484,240.399993896484,240.399993896484
48.0999984741211,48.0999984741211,48.0999984741211,29.1000003814697,29.1000003814697,29.1000003814697,6.30000019073486,6.30000019073486,6.30000019073486,330.299987792969,330.299987792969,330.299987792969,294.299987792969,294.299987792969,294.299987792969,266.399993896484,266.399993896484,266.399993896484,226.399993896484,226.399993896484,226.399993896484
46.9000015258789,46.9000015258789,46.9000015258789,27.5,27.5,27.5,11.1999998092651,11.1999998092651,11.1999998092651,336.899993896484,336.899993896484,336.899993896484,292.100006103516,292.100006103516,292.100006103516,261.299987792969,261.299987792969,261.299987792969,232.899993896484,232.899993896484,232.899993896484
47.2000007629395,47.2000007629395,47.2000007629395,27.8999996185303,27.8999996185303,27.8999996185303,8.39999961853027,8.39999961853027,8.39999961853027,347.399993896484,347.399993896484,347.399993896484,305.299987792969,305.299987792969,305.299987792969,267.399993896484,267.399993896484,267.399993896484,237.899993896484,237.899993896484,237.899993896484
45.5999984741211,45.5999984741211,45.5999984741211,16.1000003814697,16.1000003814697,16.1000003814697,12,12,12,345,345,345,302,302,302,273.700012207031,273.700012207031,273.700012207031,241.100006103516,241.100006103516,241.100006103516
